;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
388;Niger_Delta_Red_Colobus;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
389;Foa_s_Red_Colobus;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
390;Udzungwa_Red_Colobus;Folivore_frugivore;36;42;8;NI;NI;NI;NI;14;Tanzania
391;Zanzibar_Red_Colobus;Folivore_frugivore;14.4;58.665;5.165;0.94;NI;NI;NI;20.82;Tanzania
392;Lang_s_Red_Colobus;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
394;Oustalet_s_Red_Colobus;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;Uganda
396;Lomami_Red_Colobus;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
397;Pennant_s_Red_Colobus;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
398;Preuss_s_Red_Colobus;Folivore;0.87;88.91;10.2;NI;NI;NI;NI;NI;Cameroon
399;Tana_River_Red_Colobus;Folivore;22-26;39-85;jun-27;NI;NI;NI;NI;NI;NI
400;Semliki_Red_Colobus;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
401;Temminick_s_Red_Colobus;Folivore;18.8;76.4;NI;NI;NI;NI;NI;4.8;Senegal
402;Ashy_Red_Colobus;Folivore;6,4-13,9;75,5-86,9;2-13,9;NI;NI;NI;NI;NI;Uganda
403;Tshuapa_Red_Colobus;Folivore;NI;61;1.4;33;NI;NI;NI;4.6;Democratic Republic of Congo
404;Miss_Waldron_s_Red_Colobus;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
405;Equatorial_Saki;;;;;;;;;;
406;Buffy_Saki;Frugivore;34;9.5;6.5;46.2;0.4;NI;NI;3.4;Brazil
407;Cazuza_s_Saki;;;;;;;;;;
408;Golden_faced_Saki;Frugivore;61.5;18;16;NI;NI;NI;NI;NI;NI
409;Hairy_Saki;Frugivore;53;16;NI;NI;NI;NI;NI;31;Peru
410;Burnished_Saki;;;;;;;;;;
411;Gray_s_Bald_faced_Saki;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
412;Isabel_s_Saki;;;;;;;;;;
413;Miller_s_Saki;;;;;;;;;;
414;Mittermeier_s_Tapajós_Saki;;;;;;;;;;
415;Monk_Saki;;;;;;;;;;
416;Napo_Saki;;;;;;;;;;
417;Pissinatti_s_Bald_faced_Saki;;;;;;;;;;
418;White_faced_saki;Frugivore;95.3;0;6.7;NI;NI;NI;NI;NI;Surinam
419;Rylands__Bald_faced_Saki;Frugivore;20;1;3;75;NI;NI;NI;1;Peru
420;Vanzolinis_Bald_faced_Saki;;;;;;;;;;
421;Madidi_Titi;Frugivore;95.5;2;2.5;NI;NI;NI;NI;NI;Bolivia
422;Lake_Baptista_Titi;;;;;;;;;;
423;Prince_Bernhard_s_Titi;;;;;;;;;;
424;Brown_Titi;Frugivore;78;18;NI;NI;2;NI;NI;2;Peru
425;Chestnut_bellied_Titi;;;;;;;;;;
426;Caquetá_Titi;Omnivore;36;31;7;21;3;NI;NI;2;Colombia
427;Ashy_Titi;;;;;;;;;;
428;Coppery_Titi;Frugivore;76;8.33;2;NI;13.6;NI;NI;NI;Peru
429;Red_crowned_Titi;Frugivore;63;31;6;NI;NI;NI;NI;NI;Ecuador.
430;White_eared_Titi;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
431;Hoffmann_s_Titi;;;;;;;;;;
432;Milton´s_titi_monkey;;;;;;;;;;
433;Rio_Beni_Titi;Frugivore;65.81;NI;14.47;NI;10.93;NI;NI;8.79;Bolivia
436;Red_bellied_Titi;Folivore_frugivore;52;30;1;NI;17;NI;NI;NI;Paraguay
438;San_Martín_Titi;Omnivore;64;NI;NI;NI;17;;NI;19;Peru
441;Olalla_s_Titi;Folivore_frugivore;47.57;39.09;NI;NI;NI;NI;NI;14.34;Bolivia
442;Ornate_Titi;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
443;Pale_Titi;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Bolivia
444;Stephen_Nash_s_Titi;;;;;;;;;;
445;Toppins_Titi;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
446;Urubamba_Brown_Titi;;;;;;;;;;
447;Vieira_s_Titi;;;;;;;;;;
448;Sumatran_Orangutan;Frugivore;68.5;15.5;1.9;NI;7.1;NI;NI;7;Indonesia
449;Bornean_Orangutan;Frugivore;60.9;22.2;NI;NI;NI;NI;NI;16.9;Malaysia
450;Tapanuli_Orangutan;;;;;;;;;;
451;Black_and_white_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
452;Miller_s_Langur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
453;Cross_marked_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
454;Javan_Langur;Folivore;6;69;17;2;NI;NI;NI;6;Indonesia
455;Banded_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Indonesia
456;White_fronted_Langur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
457;Hose_s_Langur;Folivore;25;70;NI;NI;NI;NI;NI;5;NI
458;Black_crested_Sumatran_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Indonesia
459;Mitered_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
460;Natuna_Islands_Langur;;;;;;;;;;
461;Mentawai_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
462;Maroon_Langur;Folivore_frugivore;19.2;37.6;11.1;30.1;NI;NI;NI;2;Malaysia
463;Sabah_Grizzled_Langur;Folivore_frugivore;18.8;59.4;0.2;21.3;NI;NI;NI;0.3;NI
464;Pale_thighed_Langur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Malaysia
